Feature	DE41NGSUKBR126214	DE68NGSUKBR126213	DE14NGSUKBR126215	DE03NGSUKBR126219	DE57NGSUKBR126217	DE95NGSUKBR126212	DE73NGSUKBR126220	DE84NGSUKBR126216	DE71NGSUKBR117720	DE87NGSUKBR117723
0610005C13Rik	5.97285	0.0994423	0.875015	0.64705	0.859466	0.69755	7.49216	0.96784	2.10618	3.14925
0610009B22Rik	0.0001	9.13959	0.0001	0.0001	0.349212	0.264701	0.0001	0.0001	0.0001	1.93022
0610009E02Rik	0.0001	6.5567	6.89006	5.70242	8.94418	11.5082	23.241	6.29041	7.57667	13.1106
0610009L18Rik	2.01906	16.2922	6.67133	4.52875	3.84033	2.29331	0.0001	5.2017	2.26219	2.84449
0610010F05Rik	29.8638	6.45735	19.6857	18.546	15.6229	13.0538	26.5461	12.9436	16.1468	21.7394
0610010K14Rik	0.0001	1.8876	3.17167	0.8627	3.92711	1.94051	1.38752	1.93558	2.96422	9.85388
0610012D04Rik	0.0001	0.0001	0.546922	0.21575	0.0001	0.352902	0.0001	0.121067	0.0001	0.0001
0610012G03Rik	5.8046	6.95406	4.48404	3.55832	3.14211	2.99892	0.277584	1.08881	3.58824	2.74291
0610030E20Rik	20.6103	38.2469	19.3576	21.5651	21.5861	24.6781	8.97208	16.9355	17.1608	28.3424
0610038B21Rik	0.0001	0.0001	0.109464	0.711059	0.0001	0.882105	0.0001	0.0001	0.234109	0.0001
0610040B10Rik	10.179	4.96722	0.546922	2.26442	0.698324	2.11691	1.57251	1.08881	3.04222	1.4223
0610040J01Rik	0.0001	0.0001	0.875015	0.8627	2.18205	0.617503	3.14492	1.20977	1.87217	2.64132
0610043K17Rik	5.13162	0.0001	0.0001	0.21575	0.523768	0.0001	0.0001	1.81461	0.0781031	0.0001
1110002L01Rik	1.93493	6.16211	15.4506	9.48805	12.7466	14.136	9.31124	5.21391	4.4317	10.3399
1110003F10Rik	0.0001	12.6166	0.218829	0.21575	0.785602	1.76411	0.0001	1.08881	0.0001	1.4223
1110004F10Rik	21.7881	29.1073	36.1408	38.3858	18.2412	32.149	77.19	18.9396	130.065	91.5314
1110008P14Rik	4.79512	6.66488	7.00893	13.6751	4.64939	4.7512	8.22218	9.05804	8.50503	7.58303
